Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2023-01-03,88.84552001953125,89.61610758410028,88.30260195398154,89.493514259756,25313200
2023-01-04,90.06271362304688,90.61439033849321,89.50228501241024,90.38671412766081,21678200
2023-01-05,90.43926239013672,90.44802096714777,89.12575643362428,89.20457026505014,14771100
2023-01-06,92.10302734375,92.2081102132851,89.87882337819389,89.93136147254343,27473700
2023-01-09,92.59342956542969,92.75980915717392,91.306192405981,91.42879246573438,21472200
2023-01-10,91.06095886230469,91.78776686447738,90.6318822565547,91.53382165838687,20545200
2023-01-11,92.5408706665039,92.5758982927309,91.68271052603417,91.9191453328572,18794000
2023-01-12,94.36225891113281,94.40603842946886,91.56010918502174,92.66345593196455,32029600
2023-01-13,93.47781372070312,94.3972702984866,93.15381327272988,93.784297019686,17750800
2023-01-17,92.87360382080078,93.39901142433374,92.51458241794414,92.53209288700548,13911700
2023-01-18,95.12407684326172,95.2466701695587,93.80181929808218,94.97521447287757,35497200
2023-01-19,94.52863311767578,94.89641982579028,94.08204594776748,94.65998503622838,17194700
2023-01-20,92.99622344970703,93.90692175768737,92.91741629538846,93.66173503646903,22754100
2023-01-23,92.5583724975586,92.99620776326292,92.3744824876631,92.44453773357642,12961500
2023-01-24,93.88938903808594,94.09078950529506,92.28691047158573,92.92615285544996,16417200
2023-01-25,94.11710357666016,94.49364230010832,93.38153660676313,94.02077925106843,11906500
2023-01-26,93.67925262451172,94.26595037883105,93.25016917955836,93.81935645978274,15549400
2023-01-27,93.44279479980469,93.66171241671384,92.9173938553898,92.98744909620125,11845500
2023-01-30,93.10128021240234,93.83684685049698,92.98744546116035,93.22387353861225,11459700
2023-01-31,93.84564971923828,93.94197405370063,92.7072815459796,93.67927678948963,13705300
2023-02-01,94.97373962402344,95.33368468177991,93.42859279325495,94.42065037516802,25305800
2023-02-02,95.09664916992188,96.00090907424426,94.89472386892629,95.62340179692274,19548400
2023-02-03,93.67442321777344,94.03437502343189,93.13011500163968,93.73587758727318,20619500
2023-02-06,92.98087310791016,93.33203711930616,92.7789477731357,92.84040214493241,15182400
2023-02-07,92.23464965820312,93.26182534272336,92.18197638649326,92.47169277694833,18290300
2023-02-08,92.67359161376953,92.69115383259724,91.64642284713982,92.21707439460876,13530700
2023-02-09,91.79566955566406,93.60419633392414,91.64642418357205,93.47250648289187,20469900
2023-02-10,90.76849365234375,91.69031583921924,90.53145729750284,91.65519810183103,16598300
2023-02-13,91.53230285644531,91.67276712867071,90.93531462893216,91.04944226874184,13134300
2023-02-14,91.32160186767578,92.03272447559166,90.5490315791279,91.47962836965432,15440300
2023-02-15,90.46998596191406,91.26011146186048,89.987125535927,90.9089475498942,15246900
2023-02-16,89.188232421875,89.74132843467838,88.95997716702719,89.60963858886693,19267300
2023-02-17,89.88176727294922,89.88176727294922,88.6438991476497,88.75802674279815,19560900
2023-02-21,88.1347427368164,88.84585865352265,88.03817061256926,88.67905773729802,22728000
2023-02-22,88.94241333007812,89.27602849313259,88.62636038509162,88.66147812320386,15165400
2023-02-23,89.81158447265625,90.06617641534508,89.08290629730456,89.1443606796821,15829100
2023-02-24,88.64392852783203,89.37260657181027,88.2839767116413,89.0565536056998,21403600
2023-02-27,88.88972473144531,89.28478749548717,88.59123405603991,88.92484246349697,14209200
2023-02-28,89.2936019897461,89.30238310054789,88.03817106609097,88.29276969514271,14955700
2023-03-01,88.33429718017578,88.9151508625132,87.97345844008754,88.73033347656366,19000000
2023-03-02,87.55101013183594,87.70062322903621,87.02295284720178,87.18136868968656,23763600
2023-03-03,89.67202758789062,89.68083033439538,88.5103134868077,88.82714521569653,30877300
2023-03-06,88.97676086425781,90.06806645339739,88.8799507935368,89.96246035044969,16631900
2023-03-07,89.52240753173828,90.0944651487032,88.78313131678408,89.29358314204678,23096500
2023-03-08,89.61042022705078,90.62252119252541,89.25838423281681,90.12087208296363,20252400
2023-03-09,89.8304443359375,90.22648064367996,89.17918209327256,89.37280223111226,21550400
2023-03-10,92.92833709716797,93.016351125216,91.52900268296892,91.55540420557227,43921500
2023-03-13,93.13957214355469,96.01745254586508,92.4443028816048,95.22537321487607,51502500
2023-03-14,91.60822296142578,92.94595852865467,91.3089967012341,92.53231669818953,38417800
2023-03-15,93.377197265625,94.79413738581967,92.71713224247327,93.97565648853038,45164100
2023-03-16,92.64672088623047,95.07576197785082,92.44430471207036,94.50370429889112,43089300
2023-03-17,94.03723907470703,94.81171947464819,93.69400588456111,93.8612244644624,38129000
2023-03-20,93.2099838256836,94.13407081417775,93.04276520725338,94.06366226804623,24242800
2023-03-21,92.40909576416016,92.77873053573006,92.00425672179388,92.47950430575293,18934900
2023-03-22,93.64120483398438,93.68520513021693,91.91623610173407,92.1098562058332,26388500
2023-03-23,93.64120483398438,93.77321915173626,92.25066655411531,92.72591406930577,25475100
2023-03-24,94.03723907470703,94.54769084475426,93.51799127431647,94.248457949906,23652700
2023-03-27,91.8282241821289,93.07795214232168,91.81942815139733,92.45309151948894,22224500
2023-03-28,91.99546813964844,92.12748249682859,91.54662201104755,91.74024217297456,17794300
2023-03-29,91.81063842773438,91.92504727421704,91.17697496976965,91.26498229125848,16804400
2023-03-30,92.23306274414062,92.4530843568752,91.76661128494088,91.9338298592677,14315800
2023-03-31,93.61482238769531,93.7820342906924,92.4795097669486,92.71713021569629,25396700
2023-04-03,94.05508422851562,94.49624316648385,93.26099679386259,93.41981428079319,18234800
2023-04-04,94.52274322509766,95.11390151558088,93.30514657261566,93.33161504069409,18052400
2023-04-05,95.51091003417969,95.61679060261065,94.76976624981653,95.08739449200705,23047700
2023-04-06,95.75796508789062,96.05795668832587,95.63444111463836,95.6609095758279,16447300
2023-04-10,94.21390533447266,95.07857984798753,94.01979431726208,94.97269927544956,19134400
2023-04-11,94.40802001953125,94.48742540335613,93.9756861117529,94.45213860935732,13971200
2023-04-12,94.31096649169922,94.55801444419964,93.41982346456398,94.45214059687194,20563000
2023-04-13,93.56981658935547,94.75211935181404,93.41981742941181,94.45213449502954,22079400
2023-04-14,92.71395874023438,93.12864919536197,92.44043563681252,92.98747511210543,19801900
2023-04-17,91.611083984375,92.28164085007455,91.5052033958976,92.1316483983959,19528800
2023-04-18,91.93753814697266,92.28164164805922,91.58461631210106,91.59343464588609,15922600
2023-04-19,91.84928894042969,91.97281290373213,91.30225616910484,91.68165312254843,16093900
2023-04-20,92.63456726074219,92.89044029495209,92.42281282026072,92.4933998776053,16450100
2023-04-21,92.11402130126953,93.04927643790279,91.9993156272309,92.90810902650232,15244700
2023-04-24,93.00513458251953,93.07571489968822,92.50220690905202,92.60808748213225,17034300
2023-04-25,94.37273406982422,94.52272651679088,93.77275755040529,93.81687614377302,21899900
2023-04-26,93.36688232421875,94.61977215905975,93.23453328948449,94.22273178640852,19610400
2023-04-27,92.44044494628906,92.88160390356772,92.29927758036665,92.81984191881077,20247600
2023-04-28,93.93156433105469,94.19626239791586,93.40217492888382,93.71098485252087,26954100
2023-05-01,91.22310638427734,93.24871486581273,90.96658757235804,93.11603179088321,32487300
2023-05-02,93.49635314941406,93.49635314941406,91.89532972629397,91.99263016346538,30057800
2023-05-03,94.01824188232422,94.29244853577943,93.12484998912772,93.76172315067218,23656200
2023-05-04,93.0894775390625,94.15977576105705,93.00987175946611,93.07178961533224,25110500
2023-05-05,92.7798843383789,92.78873167414017,92.08994061687686,92.30222943536829,15096500
2023-05-08,91.47959899902344,91.87764810982195,91.39114589058141,91.56805210746546,20587000
2023-05-09,91.15232849121094,91.67420659317476,91.10809855948447,91.55037088258877,19182500
2023-05-10,92.03688049316406,92.20493940036799,91.67421391993437,91.70074918167495,22886800
2023-05-11,93.00988006591797,93.33715729820707,92.62952556061762,93.14256312563498,19147200
