Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2023-02-23,26.95937728881836,28.491160772859068,26.905314847797516,28.23886651707177,185100
2023-02-24,26.869272232055664,26.896304312031393,26.139423258851174,26.689063521392864,192500
2023-02-27,26.761150360107422,27.229694435434826,26.580939910556268,26.977401868400275,167200
2023-02-28,26.409738540649414,26.968389525210625,26.351171608948164,26.815211168041756,185000
2023-03-01,26.51786231994629,26.977397342453617,26.29260015510626,26.707081713477226,174200
2023-03-02,26.220516204833984,26.436767675805353,26.130410995609097,26.256557257355585,127000
2023-03-03,26.607973098754883,26.78818183717692,26.040311362120455,26.310627047674945,124100
2023-03-06,26.20249366760254,26.85124805200231,25.76999074466936,26.85124805200231,180000
2023-03-07,25.337491989135742,26.274581809619388,25.242880562809088,26.25656042187963,215300
2023-03-08,25.472646713256836,25.760982017205116,25.328479061282696,25.42759324788118,133800
2023-03-09,25.13926124572754,25.589785646972167,25.094209493048755,25.391555529125643,177300
2023-03-10,24.977066040039062,25.585274863222104,24.41841688238995,25.0581605497968,244000
2023-03-13,24.95905303955078,25.760985940618543,24.670715973074618,24.670715973074618,278500
2023-03-14,25.211345672607422,25.896142984797418,24.616653586502945,25.40957751371841,377500
2023-03-15,25.86910629272461,25.914159757048072,24.53555468380095,24.877954138203524,272200
2023-03-16,27.220680236816406,27.41891204952596,25.679887794104832,25.797023368203575,311900
2023-03-17,26.86476707458496,27.355838677570283,26.770155656336904,26.950366081118556,385900
2023-03-20,26.833234786987305,27.21167536448541,25.97723771069433,27.094538054113904,299800
2023-03-21,26.995418548583984,27.229691419607885,26.400726536990252,26.896304359061048,219800
2023-03-22,27.63516616821289,27.95954427916742,26.77015844520553,26.98641166491799,394600
2023-03-23,28.283916473388672,28.59027315079296,27.599119295579907,27.779329712387337,257600
2023-03-24,29.31110954284668,29.33814333787072,27.581097899322188,28.16677913930043,389700
2023-03-27,29.923831939697266,30.013938888407928,28.635333508192556,29.401225386089983,320700
2023-03-28,30.401386260986328,30.477974579609104,29.81570320006678,29.81570320006678,161400
2023-03-29,30.031951904296875,30.671695594233025,29.685046263639155,30.46445482582671,193800
2023-03-30,31.3294620513916,31.3655048224165,30.257215392609556,30.419400987765947,308500
2023-03-31,31.221343994140625,31.833153495349666,30.89245965186031,31.554731105861563,218500
2023-04-03,31.852062225341797,31.87008360731414,30.743773013246507,31.194297250873557,165700
2023-04-04,31.987224578857422,32.10436185664033,31.279901581292915,31.85206591701348,332700
2023-04-05,31.879108428955078,32.00525471464901,31.25738253913714,32.00525471464901,137000
2023-04-06,32.23951721191406,32.27555998018219,31.29341688685487,31.861078456781414,147800
2023-04-10,32.66300964355469,32.73509517677514,31.9692018538312,32.07732671643447,132500
2023-04-11,32.61796951293945,33.78933234685124,32.5909357097465,32.76213719346354,223800
2023-04-12,32.23951721191406,32.8882732918301,32.21248685432675,32.8882732918301,207500
2023-04-13,32.38368606567383,32.888274528721944,31.84305827022975,32.239518424406896,238900
2023-04-14,32.35649871826172,32.77329961909437,31.994064504848815,32.320254259981894,142700
2023-04-17,32.36557388305664,32.773312096319664,31.87628387938529,32.193414368915,113100
2023-04-18,32.564903259277344,32.70081826666859,31.885335135245544,32.54678102786103,238400
2023-04-19,32.52867126464844,33.017957822591974,32.07562572311553,32.573975127509094,131400
2023-04-20,32.202476501464844,32.818618687292556,32.04391126021426,32.49242535874106,194100
2023-04-21,32.54677963256836,32.62832794221466,32.1118564666088,32.1118564666088,127500
2023-04-24,32.34744644165039,32.90016245428435,32.3112019754043,32.592091404117674,136800
2023-04-25,32.320255279541016,32.67363357422414,32.039369360166134,32.06655097650257,171000
2023-04-26,32.284019470214844,32.53772381406753,32.07561897969836,32.19340830707999,162200
2023-04-27,32.15264129638672,32.62924607108213,31.994076054747474,32.39275487036372,115100
2023-04-28,32.438053131103516,32.546783069961286,32.16622655572788,32.39274927795132,99500
2023-05-01,32.383689880371094,32.84579471272737,32.28401932958813,32.36556764782306,118600
2023-05-02,32.16622543334961,32.38821672557314,31.65428534331428,32.37462591574794,171500
2023-05-03,31.577266693115234,32.31120157133893,31.50478121799206,32.16622716463008,143200
2023-05-04,31.69505500793457,32.19793566637274,31.282785501197246,31.405106235415875,150000
2023-05-05,32.8911018371582,32.91828691691525,32.048436950408146,32.048436950408146,135700
2023-05-08,33.2172966003418,33.77907206400878,32.76425109108647,32.76425109108647,120500
2023-05-09,33.11762619018555,33.47100113602361,33.06326294095689,33.15387066064662,197100
2023-05-10,34.43144989013672,34.73046150881074,32.78236493507345,33.97840449684545,505300
2023-05-11,33.86061477661133,34.34990467498721,32.32751126741419,34.232111894312496,205500
2023-05-12,33.83343505859375,34.422395538613635,33.72017369370243,34.12338387619853,144400
2023-05-15,33.28071975708008,34.06901790578332,32.664577642369174,34.06901790578332,232400
2023-05-16,32.63739776611328,33.69752256178806,32.5920939080564,33.21729544475208,177800
2023-05-17,32.963592529296875,33.05420024940956,32.564910265289924,32.88204419861027,175400
2023-05-18,33.59785079956055,33.80625128290549,32.61927101015401,32.95452366106002,153700
2023-05-19,33.66128158569336,34.2049347958906,33.375860712346416,33.87874148718713,156700
2023-05-22,33.806251525878906,34.087137482793686,33.56613454245558,33.66127712527253,109300
2023-05-23,33.51630401611328,34.005590476723974,33.45740589529406,33.75188613000269,278600
2023-05-24,32.70988464355469,33.471001243363276,32.59209529887289,33.471001243363276,129200
2023-05-25,31.49571990966797,32.78237085637627,31.423234431008968,32.78237085637627,105000
2023-05-26,32.1752815246582,32.44711151916177,31.37792414059774,31.414165144264516,144500
2023-05-30,31.767547607421875,32.4289935373429,31.654286247028637,32.26589690185964,78500
2023-05-31,30.689300537109375,31.51384319098184,29.78774097945706,31.51384319098184,222400
2023-06-01,31.24201774597168,31.65881878283426,30.643997815027955,30.798035084758943,91000
2023-06-02,31.803789138793945,32.07561917337742,31.251076594414982,31.66787757796468,115800
2023-06-05,32.79142761230469,33.371328677331434,32.45617495544012,32.82767207695556,203600
2023-06-06,33.78813552856445,34.250240435623574,32.57306780996267,32.7914333160727,322700
2023-06-07,34.295536041259766,35.33754186340662,33.851553476543465,33.851553476543465,307100
2023-06-08,34.3272590637207,34.78936745039268,33.978415518573804,34.29554601416189,132600
2023-06-09,33.760948181152344,34.177752656236834,33.30790269400801,34.04183762750843,95400
2023-06-12,33.634090423583984,33.9784059045596,33.38038609889784,33.83343151095863,95800
2023-06-13,33.82437515258789,34.30460222630954,33.66127851312346,33.66127851312346,112700
2023-06-14,33.407569885253906,34.1868085975945,32.97264667623036,33.86061532671123,102100
2023-06-15,32.70988464355469,33.588794044508035,32.33385949481978,33.19011523754657,196200
2023-06-16,32.60115051269531,34.15962798327832,32.52866503728768,32.98171049208855,268500
2023-06-20,33.31696701049805,33.480063669588645,32.356509291015946,32.555850420229554,167400
2023-06-21,34.43144989013672,34.64891319975983,33.31695863741564,33.31695863741564,211700
2023-06-22,34.18681335449219,34.43145834169557,33.64316013168215,34.43145834169557,101500
2023-06-23,32.655517578125,34.02371334613682,32.383690993485985,33.75188676149781,575600
2023-06-26,32.782371520996094,33.51630644990057,32.700823195562265,32.700823195562265,169700
2023-06-27,32.49242401123047,32.94546951399394,32.18435293109279,32.94546951399394,132900
